start_timestamp,end_timestamp,cry_status,cry_duration,temperature,wet_status
2025-12-07 16:02:00,2025-12-07 16:03:47,No,0,20,No
2025-12-12 04:29:00,2025-12-12 04:31:11,Yes,131,21,Yes
2026-01-20 02:17:00,2026-01-20 02:21:41,Yes,281,20,Yes
2026-01-16 23:28:00,2026-01-16 23:30:44,No,0,22,No
2026-02-01 18:06:00,2026-02-01 18:08:02,No,0,22,No
2026-02-02 16:43:00,2026-02-02 16:46:50,No,0,30,No
2025-10-25 07:28:00,2025-10-25 07:29:27,No,0,28,No
2025-12-23 08:26:00,2025-12-23 08:30:07,Yes,247,20,No
2025-12-21 22:32:00,2025-12-21 22:33:28,No,0,27,Yes
2026-02-01 16:41:00,2026-02-01 16:45:00,Yes,240,15,No
2025-12-08 17:19:00,2025-12-08 17:21:20,No,0,16,No
2025-12-06 23:02:00,2025-12-06 23:05:12,No,0,27,No
2026-01-17 13:36:00,2026-01-17 13:38:43,Yes,163,23,No
2025-11-26 11:35:00,2025-11-26 11:35:53,No,0,29,No
2025-11-26 19:32:00,2025-11-26 19:33:55,Yes,115,18,No
2025-11-03 20:38:00,2025-11-03 20:38:40,Yes,40,27,Yes
2025-12-25 12:02:00,2025-12-25 12:03:02,Yes,62,21,No
2026-02-15 06:46:00,2026-02-15 06:47:50,No,0,22,No
2025-11-11 12:45:00,2025-11-11 12:48:19,No,0,21,Yes
2025-10-04 01:13:00,2025-10-04 01:13:40,Yes,40,27,No
2025-10-11 05:21:00,2025-10-11 05:23:54,No,0,15,Yes
2025-12-03 01:09:00,2025-12-03 01:11:49,Yes,169,27,No
2025-11-03 09:12:00,2025-11-03 09:13:13,Yes,73,17,No
2025-10-06 00:30:00,2025-10-06 00:31:47,Yes,107,27,Yes
2025-12-19 11:02:00,2025-12-19 11:06:07,Yes,247,24,No
2026-01-26 06:55:00,2026-01-26 06:56:21,No,0,30,No
2025-12-14 14:39:00,2025-12-14 14:40:17,Yes,77,28,No
2026-02-01 09:42:00,2026-02-01 09:46:49,Yes,289,27,Yes
2026-02-05 13:26:00,2026-02-05 13:29:40,Yes,220,29,Yes
2026-02-25 00:50:00,2026-02-25 00:53:53,Yes,233,29,No
2026-01-31 19:13:00,2026-01-31 19:14:25,No,0,25,Yes
2025-10-22 03:15:00,2025-10-22 03:16:56,Yes,116,30,Yes
2025-10-22 04:49:00,2025-10-22 04:52:56,No,0,22,Yes
2026-02-04 08:36:00,2026-02-04 08:40:00,No,0,25,Yes
2025-10-10 10:58:00,2025-10-10 11:01:58,Yes,238,23,Yes
2026-02-21 16:40:00,2026-02-21 16:44:45,No,0,22,No
2026-01-27 16:29:00,2026-01-27 16:33:53,Yes,293,18,No
2025-10-20 12:49:00,2025-10-20 12:50:35,Yes,95,20,Yes
2025-11-12 06:44:00,2025-11-12 06:48:14,Yes,254,16,No
2026-02-04 05:49:00,2026-02-04 05:53:58,No,0,19,No
2026-01-11 00:18:00,2026-01-11 00:21:01,Yes,181,28,No
2025-12-09 17:50:00,2025-12-09 17:53:15,No,0,20,Yes
2025-12-14 17:51:00,2025-12-14 17:53:14,No,0,23,No
2026-01-27 07:11:00,2026-01-27 07:14:19,Yes,199,20,No
2025-10-03 10:50:00,2025-10-03 10:54:03,Yes,243,19,No
2025-10-18 00:11:00,2025-10-18 00:14:09,Yes,189,21,Yes
2026-02-15 15:39:00,2026-02-15 15:42:19,Yes,199,16,No
2025-11-10 02:16:00,2025-11-10 02:19:29,Yes,209,26,Yes
2025-11-19 09:22:00,2025-11-19 09:24:55,No,0,24,No
2026-01-12 08:41:00,2026-01-12 08:43:13,Yes,133,19,Yes
2025-11-25 09:33:00,2025-11-25 09:35:01,No,0,18,Yes
2026-02-11 20:02:00,2026-02-11 20:05:46,No,0,23,No
2025-11-23 05:44:00,2025-11-23 05:44:31,Yes,31,21,Yes
2025-11-07 04:53:00,2025-11-07 04:54:54,No,0,15,No
2025-10-20 01:46:00,2025-10-20 01:47:40,No,0,28,No
2025-12-23 10:19:00,2025-12-23 10:23:46,Yes,286,22,No
2026-01-05 13:09:00,2026-01-05 13:13:32,No,0,24,No
2026-02-13 02:40:00,2026-02-13 02:42:19,Yes,139,23,Yes
2026-01-20 19:07:00,2026-01-20 19:11:16,No,0,23,Yes
2026-02-20 14:51:00,2026-02-20 14:54:28,Yes,208,15,No
2026-01-28 22:52:00,2026-01-28 22:55:27,No,0,21,Yes
2026-01-06 12:46:00,2026-01-06 12:48:01,Yes,121,21,No
2026-01-01 17:57:00,2026-01-01 17:59:09,Yes,129,24,No
2025-10-25 12:35:00,2025-10-25 12:37:39,Yes,159,23,Yes
2025-12-10 21:54:00,2025-12-10 21:58:35,No,0,16,No
2025-12-10 21:20:00,2025-12-10 21:20:59,Yes,59,30,No
2026-02-03 05:55:00,2026-02-03 05:59:32,Yes,272,16,No
2025-10-08 20:55:00,2025-10-08 20:56:48,Yes,108,19,Yes
2026-01-16 04:04:00,2026-01-16 04:04:58,No,0,16,No
2025-10-25 18:34:00,2025-10-25 18:36:52,Yes,172,15,No
2025-12-21 05:46:00,2025-12-21 05:49:37,Yes,217,27,No
2025-10-16 02:13:00,2025-10-16 02:15:08,Yes,128,23,Yes
2025-11-14 15:08:00,2025-11-14 15:08:52,No,0,21,No
2025-11-14 21:41:00,2025-11-14 21:41:31,No,0,23,No
2025-10-31 11:39:00,2025-10-31 11:43:28,Yes,268,29,Yes
2025-10-30 03:05:00,2025-10-30 03:07:03,Yes,123,20,No
2025-10-06 05:46:00,2025-10-06 05:46:35,Yes,35,26,No
2025-10-21 08:25:00,2025-10-21 08:28:07,Yes,187,19,No
2025-10-14 12:56:00,2025-10-14 12:58:56,Yes,176,23,Yes
2026-02-22 10:46:00,2026-02-22 10:50:01,Yes,241,21,No
2025-11-21 06:02:00,2025-11-21 06:05:01,No,0,29,No
2025-10-24 16:43:00,2025-10-24 16:46:31,No,0,26,No
2025-11-13 01:15:00,2025-11-13 01:18:47,Yes,227,21,No
2025-12-28 22:03:00,2025-12-28 22:05:57,Yes,177,25,No
2025-10-24 17:31:00,2025-10-24 17:33:17,No,0,21,No
2025-12-06 01:04:00,2025-12-06 01:05:29,Yes,89,30,Yes
2026-01-28 20:01:00,2026-01-28 20:04:15,No,0,27,Yes
2025-12-22 23:56:00,2025-12-22 23:57:23,No,0,15,Yes
2026-01-16 16:13:00,2026-01-16 16:16:21,No,0,18,Yes
2025-12-31 10:27:00,2025-12-31 10:28:53,No,0,20,Yes
2026-01-21 21:02:00,2026-01-21 21:06:23,No,0,27,No
2025-12-02 08:37:00,2025-12-02 08:40:41,No,0,30,No
2025-12-16 01:22:00,2025-12-16 01:24:29,Yes,149,28,No
2025-12-08 19:42:00,2025-12-08 19:45:55,Yes,235,20,Yes
2025-12-16 20:22:00,2025-12-16 20:26:58,Yes,298,19,Yes
2025-12-25 01:50:00,2025-12-25 01:51:16,No,0,19,No
2026-01-26 13:30:00,2026-01-26 13:31:54,No,0,15,Yes
2025-11-21 05:52:00,2025-11-21 05:55:04,No,0,17,Yes
2025-11-30 06:56:00,2025-11-30 07:00:13,Yes,253,22,Yes
2026-02-20 12:46:00,2026-02-20 12:46:32,No,0,20,No
2025-10-26 16:04:00,2025-10-26 16:07:51,Yes,231,30,No
2026-01-27 08:17:00,2026-01-27 08:18:19,No,0,19,No
2025-11-04 13:38:00,2025-11-04 13:41:17,No,0,28,No
2026-02-14 02:26:00,2026-02-14 02:29:27,No,0,15,Yes
2025-11-15 08:01:00,2025-11-15 08:04:38,No,0,25,Yes
2026-01-10 02:38:00,2026-01-10 02:40:27,Yes,147,30,Yes
2025-10-12 07:12:00,2025-10-12 07:15:04,No,0,17,No
2026-01-07 22:19:00,2026-01-07 22:21:02,No,0,19,No
2025-12-19 13:12:00,2025-12-19 13:16:36,Yes,276,23,No
2025-11-15 05:34:00,2025-11-15 05:37:53,Yes,233,29,Yes
2025-12-28 23:25:00,2025-12-28 23:26:21,No,0,15,Yes
2025-12-21 04:23:00,2025-12-21 04:27:49,No,0,29,Yes
2026-02-02 22:19:00,2026-02-02 22:22:55,No,0,16,No
2026-01-17 08:49:00,2026-01-17 08:50:29,No,0,26,No
2025-12-25 18:15:00,2025-12-25 18:18:36,Yes,216,20,No
2026-02-14 13:05:00,2026-02-14 13:06:10,Yes,70,15,No
2025-12-06 06:44:00,2025-12-06 06:48:53,No,0,28,Yes
2026-01-27 09:36:00,2026-01-27 09:36:50,Yes,50,30,No
2026-01-02 01:42:00,2026-01-02 01:45:39,No,0,28,No
2025-12-15 00:48:00,2025-12-15 00:50:46,Yes,166,24,No
2026-01-15 00:35:00,2026-01-15 00:39:18,No,0,24,Yes
2025-10-29 12:11:00,2025-10-29 12:11:48,No,0,22,Yes
2025-10-22 18:15:00,2025-10-22 18:16:18,Yes,78,19,No
2026-01-19 09:22:00,2026-01-19 09:25:26,No,0,22,No
2025-10-11 02:36:00,2025-10-11 02:39:17,No,0,16,Yes
2025-10-26 13:02:00,2025-10-26 13:06:52,Yes,292,25,No
2026-01-17 13:40:00,2026-01-17 13:40:41,Yes,41,23,Yes
2026-01-19 03:58:00,2026-01-19 04:00:08,No,0,24,Yes
2025-10-13 12:46:00,2025-10-13 12:50:32,Yes,272,28,No
2025-11-17 09:26:00,2025-11-17 09:30:46,Yes,286,27,Yes
2025-12-12 09:18:00,2025-12-12 09:18:32,No,0,21,Yes
2026-01-15 22:25:00,2026-01-15 22:26:36,No,0,23,No
2025-12-21 03:18:00,2025-12-21 03:20:23,Yes,143,15,No
2025-11-26 02:10:00,2025-11-26 02:12:57,No,0,28,No
2026-02-16 13:16:00,2026-02-16 13:20:33,Yes,273,25,No
2025-12-21 11:49:00,2025-12-21 11:53:17,Yes,257,29,No
2025-11-23 18:10:00,2025-11-23 18:11:57,No,0,23,No
2025-10-09 22:33:00,2025-10-09 22:34:10,No,0,26,Yes
2025-11-23 18:04:00,2025-11-23 18:07:39,No,0,24,No
2026-01-24 23:01:00,2026-01-24 23:05:29,Yes,269,19,Yes
2025-12-30 19:16:00,2025-12-30 19:20:10,No,0,15,No
2026-02-20 16:45:00,2026-02-20 16:47:30,No,0,19,No
2025-11-01 03:18:00,2025-11-01 03:21:52,Yes,232,21,Yes
2026-02-24 09:52:00,2026-02-24 09:54:01,Yes,121,27,No
2025-12-30 07:25:00,2025-12-30 07:29:04,No,0,25,No
2025-10-28 22:40:00,2025-10-28 22:43:12,No,0,22,No
2026-02-04 15:50:00,2026-02-04 15:52:56,No,0,20,Yes
2026-01-11 09:50:00,2026-01-11 09:50:31,No,0,29,Yes
2025-10-26 13:05:00,2025-10-26 13:09:04,No,0,28,Yes
2025-10-08 21:07:00,2025-10-08 21:09:24,Yes,144,17,No
2025-10-06 11:05:00,2025-10-06 11:07:37,Yes,157,30,Yes
2026-01-03 00:46:00,2026-01-03 00:49:49,Yes,229,20,No
2026-01-03 08:10:00,2026-01-03 08:11:59,No,0,21,No
2025-11-03 10:00:00,2025-11-03 10:01:03,Yes,63,21,No
2026-01-26 08:21:00,2026-01-26 08:25:17,Yes,257,20,No
2026-02-06 21:53:00,2026-02-06 21:54:26,No,0,20,Yes
2026-01-27 02:23:00,2026-01-27 02:23:33,Yes,33,28,No
2026-01-07 02:24:00,2026-01-07 02:28:03,No,0,18,Yes
2026-01-21 16:24:00,2026-01-21 16:25:00,No,0,27,Yes
2026-01-02 13:38:00,2026-01-02 13:42:51,No,0,28,Yes
2025-10-27 04:58:00,2025-10-27 05:00:44,Yes,164,20,No
2026-01-14 22:24:00,2026-01-14 22:27:23,Yes,203,22,No
2025-11-23 09:01:00,2025-11-23 09:02:19,No,0,17,No
2026-02-03 08:21:00,2026-02-03 08:23:43,No,0,24,No
2025-12-24 15:22:00,2025-12-24 15:24:42,No,0,16,Yes
2025-11-07 17:48:00,2025-11-07 17:50:57,Yes,177,22,No
2026-02-22 12:22:00,2026-02-22 12:24:59,No,0,20,No
2026-01-30 15:00:00,2026-01-30 15:03:00,Yes,180,19,Yes
2025-12-14 13:06:00,2025-12-14 13:08:41,Yes,161,15,Yes
2026-02-27 10:20:00,2026-02-27 10:21:45,Yes,105,23,No
2026-02-08 17:38:00,2026-02-08 17:41:57,No,0,20,No
2025-11-09 20:02:00,2025-11-09 20:06:46,No,0,26,No
2026-02-02 22:07:00,2026-02-02 22:08:56,No,0,20,No
2026-01-06 00:29:00,2026-01-06 00:30:03,No,0,22,No
2025-11-22 07:39:00,2025-11-22 07:40:46,No,0,18,Yes
2025-12-31 17:01:00,2025-12-31 17:05:25,Yes,265,22,Yes
2026-01-02 22:40:00,2026-01-02 22:40:46,No,0,18,No
2026-02-07 02:17:00,2026-02-07 02:19:48,Yes,168,16,No
2026-02-23 17:50:00,2026-02-23 17:52:36,Yes,156,23,Yes
2025-12-02 07:47:00,2025-12-02 07:51:23,Yes,263,16,No
2026-02-19 09:28:00,2026-02-19 09:29:16,Yes,76,17,Yes
2026-02-11 10:20:00,2026-02-11 10:21:01,Yes,61,22,Yes
2026-02-27 19:50:00,2026-02-27 19:54:34,No,0,18,Yes
2025-12-21 21:38:00,2025-12-21 21:39:07,Yes,67,30,Yes
2026-01-22 02:50:00,2026-01-22 02:54:33,Yes,273,18,Yes
2026-02-02 10:14:00,2026-02-02 10:14:34,No,0,18,No
2025-11-19 20:06:00,2025-11-19 20:10:23,Yes,263,23,No
2025-12-09 16:48:00,2025-12-09 16:50:00,No,0,30,No
2025-12-16 09:01:00,2025-12-16 09:03:37,No,0,23,No
2026-01-21 03:48:00,2026-01-21 03:50:03,No,0,15,No
2026-02-08 16:03:00,2026-02-08 16:07:43,Yes,283,20,Yes
2026-01-19 22:58:00,2026-01-19 23:01:05,Yes,185,29,No
2026-02-15 06:14:00,2026-02-15 06:16:09,Yes,129,22,Yes
2025-12-18 17:07:00,2025-12-18 17:10:06,No,0,30,Yes
2025-12-16 20:48:00,2025-12-16 20:50:17,Yes,137,25,Yes
2025-11-19 13:31:00,2025-11-19 13:32:57,Yes,117,20,No
2026-02-10 16:10:00,2026-02-10 16:14:03,No,0,22,No
2026-01-29 10:21:00,2026-01-29 10:24:39,Yes,219,24,No
2025-12-30 10:45:00,2025-12-30 10:49:20,No,0,28,No
2026-01-15 00:11:00,2026-01-15 00:14:56,Yes,236,28,No
2025-11-05 15:35:00,2025-11-05 15:37:50,Yes,170,21,Yes
2025-12-05 10:03:00,2025-12-05 10:06:41,Yes,221,25,No
2026-01-06 11:07:00,2026-01-06 11:09:12,Yes,132,29,No
2025-10-28 02:32:00,2025-10-28 02:34:34,Yes,154,25,No
2026-01-29 01:34:00,2026-01-29 01:37:49,No,0,22,No
2026-02-28 12:48:00,2026-02-28 12:49:00,Yes,60,16,No
2025-12-10 18:21:00,2025-12-10 18:24:39,No,0,24,Yes
2026-01-29 04:35:00,2026-01-29 04:36:07,No,0,28,Yes
2025-11-08 20:07:00,2025-11-08 20:10:03,Yes,183,17,No
2025-12-02 11:11:00,2025-12-02 11:13:43,No,0,15,Yes
2025-10-18 23:52:00,2025-10-18 23:55:10,No,0,29,Yes
2025-11-17 10:57:00,2025-11-17 11:01:29,Yes,269,29,No
2025-12-25 06:47:00,2025-12-25 06:49:42,No,0,15,Yes
2025-10-31 21:55:00,2025-10-31 21:59:00,No,0,27,No
2025-10-13 18:02:00,2025-10-13 18:03:00,No,0,15,No
2025-10-09 17:12:00,2025-10-09 17:15:17,No,0,24,No
2025-10-18 02:34:00,2025-10-18 02:35:17,Yes,77,20,Yes
2026-02-24 15:59:00,2026-02-24 16:01:07,Yes,127,28,No
2026-01-28 15:24:00,2026-01-28 15:25:47,No,0,17,Yes
2026-02-25 11:35:00,2026-02-25 11:39:22,No,0,15,No
2026-02-25 10:01:00,2026-02-25 10:01:33,No,0,15,Yes
2025-11-27 11:00:00,2025-11-27 11:04:08,Yes,248,23,Yes
2026-02-27 23:01:00,2026-02-27 23:04:17,No,0,21,No
2026-02-25 05:12:00,2026-02-25 05:14:06,Yes,126,21,No
2025-11-16 03:26:00,2025-11-16 03:26:43,Yes,43,19,No
2025-10-18 11:10:00,2025-10-18 11:13:11,Yes,191,21,Yes
2025-12-17 05:34:00,2025-12-17 05:38:07,No,0,22,Yes
2025-12-30 00:55:00,2025-12-30 00:56:40,No,0,18,No
2025-10-07 15:09:00,2025-10-07 15:11:16,No,0,16,No
2026-01-21 13:37:00,2026-01-21 13:39:11,Yes,131,27,Yes
2025-10-24 05:58:00,2025-10-24 06:02:49,Yes,289,20,Yes
2025-10-31 16:41:00,2025-10-31 16:44:33,No,0,28,Yes
2025-11-23 03:05:00,2025-11-23 03:09:49,No,0,30,No
2026-02-08 03:49:00,2026-02-08 03:53:23,Yes,263,15,No
2026-01-16 13:39:00,2026-01-16 13:40:21,No,0,26,No
2025-10-17 14:49:00,2025-10-17 14:52:03,Yes,183,17,No
2026-01-29 00:32:00,2026-01-29 00:34:50,No,0,16,Yes
2025-12-03 06:03:00,2025-12-03 06:03:34,Yes,34,19,Yes
2026-01-29 01:19:00,2026-01-29 01:20:01,Yes,61,24,No
2026-01-15 05:22:00,2026-01-15 05:26:04,Yes,244,20,Yes
2025-11-16 12:27:00,2025-11-16 12:28:26,Yes,86,15,No
2025-11-22 10:26:00,2025-11-22 10:29:56,No,0,23,No
2025-10-08 00:52:00,2025-10-08 00:55:19,Yes,199,30,Yes
2025-11-06 13:54:00,2025-11-06 13:54:53,No,0,20,Yes
2025-10-26 00:30:00,2025-10-26 00:33:28,Yes,208,17,No
2025-10-17 03:50:00,2025-10-17 03:54:33,No,0,28,No
2025-11-04 20:35:00,2025-11-04 20:35:30,No,0,30,No
2025-12-05 04:22:00,2025-12-05 04:25:15,No,0,18,No
2026-02-04 19:29:00,2026-02-04 19:31:10,Yes,130,22,Yes
2025-11-06 07:41:00,2025-11-06 07:42:12,Yes,72,27,No
2025-10-27 08:31:00,2025-10-27 08:33:25,No,0,20,No
2025-12-24 15:46:00,2025-12-24 15:50:56,No,0,19,No
2026-01-17 12:47:00,2026-01-17 12:48:44,Yes,104,27,Yes
2025-11-20 06:13:00,2025-11-20 06:13:37,Yes,37,16,Yes
2025-11-11 13:32:00,2025-11-11 13:35:15,Yes,195,30,No
2025-12-28 06:24:00,2025-12-28 06:27:57,No,0,21,No
2025-12-07 18:37:00,2025-12-07 18:41:15,Yes,255,23,No
2025-12-26 06:21:00,2025-12-26 06:23:40,No,0,30,No
2025-10-25 22:48:00,2025-10-25 22:51:25,No,0,17,No
2026-01-18 21:55:00,2026-01-18 21:55:43,Yes,43,18,Yes
2026-01-26 03:47:00,2026-01-26 03:48:31,No,0,19,No
2025-12-18 15:26:00,2025-12-18 15:30:13,Yes,253,20,No
2026-02-08 06:39:00,2026-02-08 06:40:42,Yes,102,15,Yes
2025-12-30 17:56:00,2025-12-30 17:57:47,Yes,107,26,Yes
2026-02-13 05:41:00,2026-02-13 05:44:41,Yes,221,18,Yes
2025-11-27 05:11:00,2025-11-27 05:15:07,Yes,247,23,Yes
2026-01-11 10:07:00,2026-01-11 10:10:49,No,0,30,No
2025-12-22 04:38:00,2025-12-22 04:41:03,Yes,183,17,No
2026-02-20 22:48:00,2026-02-20 22:51:09,Yes,189,17,Yes
2026-01-14 04:47:00,2026-01-14 04:48:43,No,0,20,Yes
2026-01-09 05:26:00,2026-01-09 05:30:04,No,0,21,Yes
2025-12-29 02:24:00,2025-12-29 02:26:25,No,0,19,No
2025-11-01 19:59:00,2025-11-01 20:00:47,Yes,107,29,Yes
2025-12-10 11:10:00,2025-12-10 11:10:35,Yes,35,24,Yes
2026-01-29 07:55:00,2026-01-29 07:59:14,No,0,18,No
2025-11-09 02:24:00,2025-11-09 02:27:24,No,0,16,No
2025-12-05 03:51:00,2025-12-05 03:55:28,No,0,20,No
2025-12-14 07:40:00,2025-12-14 07:44:57,Yes,297,17,No
2025-12-01 22:41:00,2025-12-01 22:45:43,No,0,28,Yes
2025-10-27 09:33:00,2025-10-27 09:35:51,No,0,25,No
2025-12-04 12:10:00,2025-12-04 12:11:12,Yes,72,18,No
2025-12-02 19:59:00,2025-12-02 20:03:43,Yes,283,28,No
2025-10-27 16:39:00,2025-10-27 16:42:42,No,0,16,Yes
2025-10-26 19:38:00,2025-10-26 19:39:18,Yes,78,22,No
2026-02-26 22:57:00,2026-02-26 23:01:05,No,0,16,No
2026-01-21 15:43:00,2026-01-21 15:47:57,Yes,297,27,No
2025-10-07 07:22:00,2025-10-07 07:24:02,Yes,122,25,Yes
2025-12-14 14:04:00,2025-12-14 14:04:44,No,0,23,No
2025-12-28 12:01:00,2025-12-28 12:03:37,No,0,29,Yes
2025-12-23 15:38:00,2025-12-23 15:40:44,Yes,164,21,No
2026-01-11 11:53:00,2026-01-11 11:54:58,No,0,17,No
2025-12-30 21:02:00,2025-12-30 21:04:26,No,0,24,Yes
2025-10-24 21:49:00,2025-10-24 21:52:57,No,0,30,Yes
2026-01-06 06:54:00,2026-01-06 06:56:45,No,0,26,No
2026-01-21 12:20:00,2026-01-21 12:21:51,Yes,111,25,Yes
2025-10-29 06:28:00,2025-10-29 06:31:08,No,0,20,No
2025-10-20 06:46:00,2025-10-20 06:47:17,Yes,77,27,No
2025-11-07 11:36:00,2025-11-07 11:39:31,No,0,19,No
2025-10-27 10:01:00,2025-10-27 10:02:12,No,0,22,No
2025-10-11 08:23:00,2025-10-11 08:24:49,No,0,15,No
2025-11-27 23:43:00,2025-11-27 23:45:22,Yes,142,22,No
2025-11-25 04:57:00,2025-11-25 04:57:36,No,0,22,Yes
2026-02-01 14:58:00,2026-02-01 15:02:02,Yes,242,28,Yes
2026-02-10 19:49:00,2026-02-10 19:52:54,No,0,23,No
2025-12-07 14:43:00,2025-12-07 14:46:39,No,0,22,No
2026-02-16 12:11:00,2026-02-16 12:12:09,Yes,69,25,Yes
2026-02-15 19:45:00,2026-02-15 19:46:35,Yes,95,30,No
2025-10-27 20:37:00,2025-10-27 20:39:26,No,0,22,No
2025-12-08 19:36:00,2025-12-08 19:36:57,No,0,29,No
2026-01-20 02:12:00,2026-01-20 02:13:57,Yes,117,29,Yes
2025-12-28 16:16:00,2025-12-28 16:17:45,Yes,105,26,Yes
2025-12-10 19:26:00,2025-12-10 19:28:39,Yes,159,30,No
2025-11-04 13:31:00,2025-11-04 13:33:20,No,0,24,No
